,0
799,9
800,14
801,5
802,14
803,5
804,5
805,14
806,14
807,5
808,5
809,14
810,5
811,14
812,0
813,14
814,5
815,5
816,14
817,5
818,14
819,12
820,14
821,5
822,5
823,5
824,9
825,5
826,5
827,14
828,14
829,14
830,5
831,5
832,5
833,5
834,14
835,9
836,14
837,5
838,10
839,9
840,14
841,0
842,14
843,14
844,5
845,14
846,14
847,14
848,14
849,5
850,14
851,14
852,5
853,14
854,13
855,12
856,14
857,6
858,14
859,13
860,14
861,9
862,9
863,5
864,5
865,5
866,5
867,14
868,5
869,5
870,14
871,14
872,5
873,14
874,14
875,5
876,14
877,14
878,9
879,14
880,5
881,12
882,6
883,14
884,9
885,14
886,6
887,5
888,5
889,14
890,14
891,5
892,8
893,5
894,14
895,12
896,9
897,14
898,14
899,13
900,14
901,5
902,5
903,8
904,5
905,12
906,14
907,14
908,14
909,14
910,5
911,5
912,14
913,5
914,13
915,9
916,14
917,14
918,5
919,9
920,0
921,5
922,6
923,14
924,14
925,5
926,5
927,0
928,11
929,13
930,0
931,0
932,14
933,14
934,14
935,14
936,11
937,0
938,0
939,14
940,14
941,14
942,14
943,12
944,7
945,14
946,11
947,11
948,11
949,14
950,13
951,14
952,14
953,11
954,11
955,11
956,0
957,11
958,14
959,14
960,5
961,14
962,5
963,14
964,3
965,5
966,14
967,11
968,13
969,14
970,9
971,14
972,0
973,13
974,14
975,14
976,5
977,11
978,11
979,11
980,11
981,6
982,12
983,10
984,0
985,9
986,0
987,0
988,0
989,9
990,9
991,0
992,5
993,12
994,12
995,14
996,14
997,9
998,14
999,14
1000,12
1001,5
1002,11
1003,11
1004,5
1005,9
1006,14
1007,5
1008,14
1009,14
1010,5
1011,14
1012,14
1013,14
1014,14
1015,9
1016,11
1017,5
1018,6
1019,14
1020,14
1021,14
1022,3
1023,10
1024,9
1025,14
1026,14
1027,14
1028,14
1029,14
1030,0
1031,11
1032,9
1033,9
1034,9
1035,9
1036,14
1037,14
1038,9
1039,12
1040,14
1041,0
1042,9
1043,9
1044,0
1045,3
1046,9
1047,14
1048,12
1049,14
1050,5
1051,14
1052,14
1053,14
1054,14
1055,14
1056,9
1057,5
1058,9
1059,5
1060,5
1061,14
1062,14
1063,14
1064,9
1065,9
1066,14
1067,9
1068,7
1069,9
1070,14
1071,5
1072,14
1073,14
1074,14
1075,14
1076,0
1077,11
1078,9
1079,14
1080,14
1081,9
1082,5
1083,14
1084,0
1085,9
1086,9
1087,11
1088,14
1089,9
1090,14
1091,11
1092,14
1093,14
1094,0
1095,5
1096,14
1097,9
1098,14
1099,0
1100,14
1101,9
1102,9
1103,9
1104,14
1105,5
1106,14
1107,14
1108,5
1109,8
1110,11
1111,10
1112,0
1113,14
1114,5
1115,11
1116,14
1117,11
1118,14
1119,9
1120,9
1121,11
1122,14
1123,14
1124,11
1125,0
1126,11
1127,9
1128,14
1129,9
1130,9
1131,5
1132,5
1133,9
1134,14
1135,14
1136,5
1137,14
1138,12
1139,9
1140,5
1141,14
1142,9
1143,14
1144,14
1145,14
1146,14
1147,5
1148,5
1149,14
1150,14
1151,14
1152,9
1153,14
1154,14
1155,0
1156,14
1157,5
1158,14
1159,9
1160,9
1161,9
1162,14
1163,14
1164,14
1165,14
1166,9
1167,9
1168,14
1169,9
1170,0
1171,14
1172,9
1173,14
1174,0
1175,14
1176,9
1177,14
1178,0
1179,0
1180,14
1181,9
1182,14
1183,5
1184,9
1185,11
1186,11
1187,14
1188,5
1189,10
1190,9
1191,6
1192,14
1193,6
1194,5
1195,14
1196,14
1197,14
1198,10
1199,14
1200,9
1201,9
1202,14
1203,7
1204,14
1205,0
1206,5
1207,9
1208,12
1209,14
1210,12
1211,14
1212,14
1213,14
1214,14
1215,9
1216,14
1217,14
1218,9
1219,11
1220,12
1221,14
1222,14
1223,9
1224,14
1225,9
1226,14
1227,14
1228,14
1229,9
1230,5
1231,0
1232,5
1233,14
1234,9
1235,14
1236,5
1237,14
1238,14
1239,5
1240,9
1241,9
1242,9
1243,14
1244,14
1245,14
1246,14
1247,11
1248,5
1249,9
1250,9
1251,9
1252,0
1253,14
1254,8
1255,9
1256,9
1257,1
1258,0
1259,14
1260,14
1261,9
1262,9
1263,5
1264,9
1265,5
1266,11
1267,14
1268,9
1269,9
1270,14
1271,9
1272,14
1273,5
1274,14
1275,9
1276,12
1277,5
1278,14
1279,14
1280,0
1281,9
1282,9
1283,14
1284,9
1285,14
1286,9
1287,14
1288,9
1289,14
1290,14
1291,14
1292,14
1293,9
1294,9
1295,9
1296,9
1297,0
1298,0
1299,9
1300,14
1301,14
1302,14
1303,9
1304,14
1305,5
1306,14
1307,9
1308,14
1309,14
1310,14
1311,14
1312,9
1313,9
1314,9
1315,9
1316,0
1317,5
1318,14
1319,0
1320,9
1321,11
1322,9
1323,9
1324,8
1325,14
1326,9
1327,14
1328,9
1329,14
1330,9
1331,6
1332,14
1333,5
1334,14
1335,5
1336,5
1337,14
1338,14
1339,14
1340,14
1341,14
1342,14
1343,5
1344,11
1345,9
1346,0
1347,14
1348,5
1349,14
1350,12
1351,9
1352,14
1353,12
1354,14
1355,9
1356,11
1357,11
1358,5
1359,9
1360,14
1361,14
1362,5
1363,0
1364,5
1365,5
1366,5
1367,11
1368,0
1369,14
1370,14
1371,0
1372,14
1373,3
1374,9
1375,9
1376,14
1377,14
1378,14
1379,10
1380,14
1381,14
1382,11
1383,5
1384,9
1385,11
1386,14
1387,14
1388,9
1389,5
1390,14
1391,9
1392,14
1393,14
1394,9
1395,9
1396,14
1397,5
1398,14
1399,14
1400,9
1401,9
1402,5
1403,9
1404,14
1405,14
1406,10
1407,14
1408,0
1409,9
1410,14
1411,14
1412,14
1413,9
1414,14
1415,14
1416,9
1417,14
1418,9
1419,0
1420,7
1421,0
1422,5
1423,9
1424,14
1425,9
1426,9
1427,9
1428,9
1429,5
1430,14
1431,14
1432,11
1433,14
1434,9
1435,9
1436,11
1437,9
1438,14
1439,10
1440,9
1441,14
1442,9
1443,9
1444,11
1445,9
1446,9
1447,9
1448,9
1449,14
1450,14
1451,11
1452,0
1453,14
1454,9
1455,14
1456,9
1457,14
1458,9
1459,14
1460,0
1461,9
1462,5
1463,7
1464,14
1465,0
1466,10
1467,9
1468,11
1469,14
1470,14
1471,9
1472,14
1473,5
1474,9
1475,14
1476,11
1477,14
1478,14
1479,11
1480,5
1481,11
1482,9
1483,9
1484,9
1485,9
1486,9
1487,9
1488,9
1489,9
1490,5
1491,9
1492,5
1493,11
1494,9
1495,11
1496,9
1497,9
1498,5
1499,5
1500,5
1501,0
1502,5
1503,9
1504,5
1505,9
1506,9
1507,5
1508,9
1509,5
1510,1
1511,1
1512,1
1513,12
1514,10
1515,0
1516,0
1517,14
1518,14
1519,14
1520,14
1521,14
1522,11
1523,5
1524,14
1525,11
1526,14
1527,14
1528,5
1529,14
1530,5
1531,14
1532,14
1533,0
1534,14
1535,3
1536,14
1537,14
1538,14
1539,11
1540,11
1541,14
1542,11
1543,14
1544,1
1545,14
1546,0
1547,14
1548,14
1549,11
1550,14
1551,14
1552,14
1553,14
1554,14
1555,5
1556,14
1557,0
1558,5
1559,14
1560,5
1561,14
1562,14
1563,5
1564,14
1565,14
1566,11
1567,14
1568,14
1569,14
1570,14
1571,14
1572,14
1573,14
1574,13
1575,14
1576,0
1577,14
1578,5
1579,5
1580,14
1581,0
1582,11
1583,3
1584,3
1585,0
1586,1
1587,0
1588,9
1589,0
1590,11
1591,12
1592,11
1593,0
1594,0
1595,9
1596,9
1597,11
1598,0
1599,11
1600,10
1601,9
1602,0
1603,3
1604,14
1605,3
1606,0
1607,14
1608,5
1609,5
1610,0
1611,0
1612,5
1613,14
1614,5
1615,12
1616,14
1617,14
1618,5
1619,5
1620,14
1621,14
1622,14
1623,0
1624,0
1625,14
1626,14
1627,10
1628,5
1629,14
1630,5
1631,5
1632,12
1633,10
1634,11
1635,10
1636,6
1637,10
1638,0
1639,14
1640,14
1641,5
1642,14
1643,12
1644,10
1645,0
1646,14
1647,14
1648,14
1649,0
1650,13
1651,14
1652,5
1653,14
1654,0
1655,0
1656,9
1657,0
1658,0
1659,9
1660,8
1661,9
1662,0
1663,9
1664,0
1665,0
1666,9
1667,9
1668,6
1669,0
1670,9
1671,0
1672,9
1673,14
1674,9
1675,8
1676,8
1677,0
1678,0
1679,8
1680,0
1681,9
1682,8
1683,8
1684,0
1685,9
1686,8
1687,11
1688,0
1689,8
1690,8
1691,0
1692,8
1693,0
1694,8
1695,8
1696,5
1697,13
1698,14
1699,14
1700,14
1701,14
1702,5
1703,11
1704,5
1705,9
1706,5
1707,5
1708,5
1709,14
1710,5
1711,9
1712,13
1713,14
1714,5
1715,5
1716,14
1717,5
1718,5
1719,5
1720,5
1721,5
1722,14
1723,13
1724,14
1725,14
1726,5
1727,14
1728,14
1729,5
1730,0
1731,5
1732,11
1733,14
1734,14
1735,14
1736,0
1737,1
1738,14
1739,14
1740,0
1741,11
1742,14
1743,14
1744,11
1745,1
1746,14
1747,14
1748,14
1749,14
1750,14
1751,14
1752,14
1753,14
1754,0
1755,1
1756,14
1757,5
1758,5
1759,5
1760,5
1761,11
1762,5
1763,14
1764,5
1765,0
1766,14
1767,14
1768,14
1769,5
1770,14
1771,6
1772,14
1773,14
1774,14
1775,14
1776,14
1777,12
1778,14
1779,14
1780,11
1781,14
1782,11
1783,14
1784,14
1785,0
1786,5
1787,5
1788,1
1789,3
1790,1
1791,1
1792,14
1793,13
1794,14
1795,14
1796,14
1797,11
1798,1
1799,14
1800,14
1801,0
1802,14
1803,5
1804,5
1805,14
1806,1
1807,14
1808,11
1809,14
1810,14
1811,14
1812,5
1813,11
1814,5
1815,0
1816,6
1817,1
1818,0
1819,6
1820,10
1821,1
1822,10
1823,10
1824,5
1825,9
1826,10
1827,5
1828,8
1829,9
1830,8
1831,5
1832,14
1833,5
1834,14
1835,14
1836,5
1837,9
1838,5
1839,14
1840,14
1841,9
1842,14
1843,5
1844,14
1845,14
1846,9
1847,9
1848,5
1849,9
1850,0
1851,5
1852,5
1853,14
1854,9
1855,9
1856,5
1857,14
1858,9
1859,14
1860,12
1861,5
1862,5
1863,0
1864,9
1865,5
1866,14
1867,14
1868,5
1869,8
1870,12
1871,9
1872,5
1873,0
1874,9
1875,9
1876,9
1877,9
1878,9
1879,9
1880,9
1881,5
1882,5
1883,14
1884,5
1885,11
1886,14
1887,12
1888,14
1889,9
1890,14
1891,14
1892,9
1893,0
1894,9
1895,14
1896,9
1897,0
1898,5
1899,14
1900,11
1901,9
1902,5
1903,0
1904,5
1905,5
1906,12
1907,5
1908,9
1909,14
1910,5
1911,11
1912,14
1913,5
1914,5
1915,9
1916,9
1917,11
1918,11
1919,9
1920,9
1921,9
1922,14
1923,0
1924,9
1925,9
1926,14
1927,9
1928,9
1929,9
1930,5
1931,14
1932,11
1933,5
1934,9
1935,12
1936,5
1937,9
1938,14
1939,14
1940,0
1941,5
1942,12
1943,11
1944,9
1945,14
1946,3
1947,14
1948,5
1949,14
1950,14
1951,9
1952,9
1953,11
1954,9
1955,9
1956,9
1957,5
1958,9
1959,14
1960,5
1961,9
1962,5
1963,14
1964,12
1965,14
1966,14
1967,9
1968,11
1969,5
1970,9
1971,14
1972,5
1973,14
1974,5
1975,11
1976,9
1977,10
1978,5
1979,9
1980,14
1981,14
1982,12
1983,14
1984,14
1985,14
1986,9
1987,14
1988,9
1989,14
1990,14
1991,0
1992,11
1993,14
1994,9
1995,14
1996,9
1997,14
1998,10
1999,5
2000,5
2001,5
2002,14
2003,14
2004,9
2005,14
2006,9
